Column1;col1;col2
206;u+0001f386;\xf0\x9f\x8e\x86
207;u+0001f387;\xf0\x9f\x8e\x87
208;u+0001f388;\xf0\x9f\x8e\x88
209;u+0001f389;\xf0\x9f\x8e\x89
210;u+0001f38a;\xf0\x9f\x8e\x8a
211;u+0001f38b;\xf0\x9f\x8e\x8b
212;u+0001f38c;\xf0\x9f\x8e\x8c
213;u+0001f38d;\xf0\x9f\x8e\x8d
214;u+0001f38e;\xf0\x9f\x8e\x8e
215;u+0001f38f;\xf0\x9f\x8e\x8f
216;u+0001f390;\xf0\x9f\x8e\x90
217;u+0001f391;\xf0\x9f\x8e\x91
218;u+0001f392;\xf0\x9f\x8e\x92
219;u+0001f393;\xf0\x9f\x8e\x93
220;u+0001f3a0;\xf0\x9f\x8e\xa0
221;u+0001f3a1;\xf0\x9f\x8e\xa1
222;u+0001f3a2;\xf0\x9f\x8e\xa2
223;u+0001f3a3;\xf0\x9f\x8e\xa3
224;u+0001f3a4;\xf0\x9f\x8e\xa4
225;u+0001f3a5;\xf0\x9f\x8e\xa5
226;u+0001f3a6;\xf0\x9f\x8e\xa6
227;u+0001f3a7;\xf0\x9f\x8e\xa7
228;u+0001f3a8;\xf0\x9f\x8e\xa8
229;u+0001f3a9;\xf0\x9f\x8e\xa9
230;u+0001f3aa;\xf0\x9f\x8e\xaa
231;u+0001f3ab;\xf0\x9f\x8e\xab
232;u+0001f3ac;\xf0\x9f\x8e\xac
233;u+0001f3ad;\xf0\x9f\x8e\xad
234;u+0001f3ae;\xf0\x9f\x8e\xae
235;u+0001f3af;\xf0\x9f\x8e\xaf
236;u+0001f3b0;\xf0\x9f\x8e\xb0
237;u+0001f3b1;\xf0\x9f\x8e\xb1
238;u+0001f3b2;\xf0\x9f\x8e\xb2
239;u+0001f3b3;\xf0\x9f\x8e\xb3
240;u+0001f3b4;\xf0\x9f\x8e\xb4
241;u+0001f3b5;\xf0\x9f\x8e\xb5
242;u+0001f3b6;\xf0\x9f\x8e\xb6
243;u+0001f3b7;\xf0\x9f\x8e\xb7
244;u+0001f3b8;\xf0\x9f\x8e\xb8
245;u+0001f3b9;\xf0\x9f\x8e\xb9
246;u+0001f3ba;\xf0\x9f\x8e\xba
247;u+0001f3bb;\xf0\x9f\x8e\xbb
248;u+0001f3bc;\xf0\x9f\x8e\xbc
249;u+0001f3bd;\xf0\x9f\x8e\xbd
250;u+0001f3be;\xf0\x9f\x8e\xbe
251;u+0001f3bf;\xf0\x9f\x8e\xbf
252;u+0001f3c0;\xf0\x9f\x8f\x80
253;u+0001f3c1;\xf0\x9f\x8f\x81
254;u+0001f3c2;\xf0\x9f\x8f\x82
255;u+0001f3c3;\xf0\x9f\x8f\x83
256;u+0001f3c4;\xf0\x9f\x8f\x84
257;u+0001f3c5;\xf0\x9f\x8f\x85
258;u+0001f3c6;\xf0\x9f\x8f\x86
259;u+0001f3c7;\xf0\x9f\x8f\x87
260;u+0001f3c8;\xf0\x9f\x8f\x88
261;u+0001f3c9;\xf0\x9f\x8f\x89
262;u+0001f3ca;\xf0\x9f\x8f\x8a
263;u+0001f3cf;\xf0\x9f\x8f\x8f
264;u+0001f3d0;\xf0\x9f\x8f\x90
265;u+0001f3d1;\xf0\x9f\x8f\x91
266;u+0001f3d2;\xf0\x9f\x8f\x92
267;u+0001f3d3;\xf0\x9f\x8f\x93
268;u+0001f3e0;\xf0\x9f\x8f\xa0
269;u+0001f3e1;\xf0\x9f\x8f\xa1
270;u+0001f3e2;\xf0\x9f\x8f\xa2
271;u+0001f3e3;\xf0\x9f\x8f\xa3
272;u+0001f3e4;\xf0\x9f\x8f\xa4
273;u+0001f3e5;\xf0\x9f\x8f\xa5
274;u+0001f3e6;\xf0\x9f\x8f\xa6
275;u+0001f3e7;\xf0\x9f\x8f\xa7
276;u+0001f3e8;\xf0\x9f\x8f\xa8
277;u+0001f3e9;\xf0\x9f\x8f\xa9
278;u+0001f3ea;\xf0\x9f\x8f\xaa
279;u+0001f3eb;\xf0\x9f\x8f\xab
280;u+0001f3ec;\xf0\x9f\x8f\xac
281;u+0001f3ed;\xf0\x9f\x8f\xad
282;u+0001f3ee;\xf0\x9f\x8f\xae
283;u+0001f3ef;\xf0\x9f\x8f\xaf
284;u+0001f3f0;\xf0\x9f\x8f\xb0
285;u+0001f3f4;\xf0\x9f\x8f\xb4
286;u+0001f3f8;\xf0\x9f\x8f\xb8
287;u+0001f3f9;\xf0\x9f\x8f\xb9
288;u+0001f3fa;\xf0\x9f\x8f\xba
289;u+0001f3fb;\xf0\x9f\x8f\xbb
290;u+0001f3fc;\xf0\x9f\x8f\xbc
291;u+0001f3fd;\xf0\x9f\x8f\xbd
292;u+0001f3fe;\xf0\x9f\x8f\xbe
293;u+0001f3ff;\xf0\x9f\x8f\xbf
294;u+0001f400;\xf0\x9f\x90\x80
295;u+0001f401;\xf0\x9f\x90\x81
296;u+0001f402;\xf0\x9f\x90\x82
297;u+0001f403;\xf0\x9f\x90\x83
298;u+0001f404;\xf0\x9f\x90\x84
299;u+0001f405;\xf0\x9f\x90\x85
300;u+0001f406;\xf0\x9f\x90\x86
301;u+0001f407;\xf0\x9f\x90\x87
302;u+0001f408;\xf0\x9f\x90\x88
303;u+0001f409;\xf0\x9f\x90\x89
304;u+0001f40a;\xf0\x9f\x90\x8a
305;u+0001f40b;\xf0\x9f\x90\x8b
306;u+0001f40c;\xf0\x9f\x90\x8c
307;u+0001f40d;\xf0\x9f\x90\x8d
308;u+0001f40e;\xf0\x9f\x90\x8e
309;u+0001f40f;\xf0\x9f\x90\x8f
310;u+0001f410;\xf0\x9f\x90\x90
311;u+0001f411;\xf0\x9f\x90\x91
312;u+0001f412;\xf0\x9f\x90\x92
313;u+0001f413;\xf0\x9f\x90\x93
314;u+0001f414;\xf0\x9f\x90\x94
315;u+0001f415;\xf0\x9f\x90\x95
316;u+0001f416;\xf0\x9f\x90\x96
317;u+0001f417;\xf0\x9f\x90\x97
318;u+0001f418;\xf0\x9f\x90\x98
319;u+0001f419;\xf0\x9f\x90\x99
320;u+0001f41a;\xf0\x9f\x90\x9a
321;u+0001f41b;\xf0\x9f\x90\x9b
322;u+0001f41c;\xf0\x9f\x90\x9c
323;u+0001f41d;\xf0\x9f\x90\x9d
324;u+0001f41e;\xf0\x9f\x90\x9e
325;u+0001f41f;\xf0\x9f\x90\x9f
326;u+0001f420;\xf0\x9f\x90\xa0
327;u+0001f421;\xf0\x9f\x90\xa1
328;u+0001f422;\xf0\x9f\x90\xa2
329;u+0001f423;\xf0\x9f\x90\xa3
330;u+0001f424;\xf0\x9f\x90\xa4
331;u+0001f425;\xf0\x9f\x90\xa5
332;u+0001f426;\xf0\x9f\x90\xa6
333;u+0001f427;\xf0\x9f\x90\xa7
334;u+0001f428;\xf0\x9f\x90\xa8
335;u+0001f429;\xf0\x9f\x90\xa9
336;u+0001f42a;\xf0\x9f\x90\xaa
337;u+0001f42b;\xf0\x9f\x90\xab
338;u+0001f42c;\xf0\x9f\x90\xac
339;u+0001f42d;\xf0\x9f\x90\xad
340;u+0001f42e;\xf0\x9f\x90\xae
341;u+0001f42f;\xf0\x9f\x90\xaf
342;u+0001f430;\xf0\x9f\x90\xb0
343;u+0001f431;\xf0\x9f\x90\xb1
344;u+0001f432;\xf0\x9f\x90\xb2
345;u+0001f433;\xf0\x9f\x90\xb3
346;u+0001f434;\xf0\x9f\x90\xb4
347;u+0001f435;\xf0\x9f\x90\xb5
348;u+0001f436;\xf0\x9f\x90\xb6
349;u+0001f437;\xf0\x9f\x90\xb7
350;u+0001f438;\xf0\x9f\x90\xb8
351;u+0001f439;\xf0\x9f\x90\xb9
352;u+0001f43a;\xf0\x9f\x90\xba
353;u+0001f43b;\xf0\x9f\x90\xbb
354;u+0001f43c;\xf0\x9f\x90\xbc
355;u+0001f43d;\xf0\x9f\x90\xbd
356;u+0001f43e;\xf0\x9f\x90\xbe
357;u+0001f440;\xf0\x9f\x91\x80
358;u+0001f442;\xf0\x9f\x91\x82
359;u+0001f443;\xf0\x9f\x91\x83
360;u+0001f444;\xf0\x9f\x91\x84
361;u+0001f445;\xf0\x9f\x91\x85
362;u+0001f446;\xf0\x9f\x91\x86
363;u+0001f447;\xf0\x9f\x91\x87
364;u+0001f448;\xf0\x9f\x91\x88
365;u+0001f449;\xf0\x9f\x91\x89
366;u+0001f44a;\xf0\x9f\x91\x8a
367;u+0001f44b;\xf0\x9f\x91\x8b
368;u+0001f44c;\xf0\x9f\x91\x8c
369;u+0001f44d;\xf0\x9f\x91\x8d
370;u+0001f44e;\xf0\x9f\x91\x8e
371;u+0001f44f;\xf0\x9f\x91\x8f
372;u+0001f450;\xf0\x9f\x91\x90
373;u+0001f451;\xf0\x9f\x91\x91
374;u+0001f452;\xf0\x9f\x91\x92
375;u+0001f453;\xf0\x9f\x91\x93
376;u+0001f454;\xf0\x9f\x91\x94
377;u+0001f455;\xf0\x9f\x91\x95
378;u+0001f456;\xf0\x9f\x91\x96
379;u+0001f457;\xf0\x9f\x91\x97
380;u+0001f458;\xf0\x9f\x91\x98
381;u+0001f459;\xf0\x9f\x91\x99
382;u+0001f45a;\xf0\x9f\x91\x9a
383;u+0001f45b;\xf0\x9f\x91\x9b
384;u+0001f45c;\xf0\x9f\x91\x9c
385;u+0001f45d;\xf0\x9f\x91\x9d
386;u+0001f45e;\xf0\x9f\x91\x9e
387;u+0001f45f;\xf0\x9f\x91\x9f
388;u+0001f460;\xf0\x9f\x91\xa0
389;u+0001f461;\xf0\x9f\x91\xa1
390;u+0001f462;\xf0\x9f\x91\xa2
391;u+0001f463;\xf0\x9f\x91\xa3
392;u+0001f464;\xf0\x9f\x91\xa4
393;u+0001f465;\xf0\x9f\x91\xa5
394;u+0001f466;\xf0\x9f\x91\xa6
395;u+0001f467;\xf0\x9f\x91\xa7
396;u+0001f468;\xf0\x9f\x91\xa8
397;u+0001f469;\xf0\x9f\x91\xa9
398;u+0001f46a;\xf0\x9f\x91\xaa
399;u+0001f46b;\xf0\x9f\x91\xab
400;u+0001f46c;\xf0\x9f\x91\xac
401;u+0001f46d;\xf0\x9f\x91\xad
402;u+0001f46e;\xf0\x9f\x91\xae
403;u+0001f46f;\xf0\x9f\x91\xaf
404;u+0001f470;\xf0\x9f\x91\xb0
