,col1
666,u+0001f615
667,u+0001f616
668,u+0001f617
669,u+0001f618
670,u+0001f619
671,u+0001f61a
672,u+0001f61b
673,u+0001f61c
674,u+0001f61d
675,u+0001f61e
676,u+0001f61f
677,u+0001f620
678,u+0001f621
679,u+0001f622
680,u+0001f623
681,u+0001f624
682,u+0001f625
683,u+0001f626
684,u+0001f627
685,u+0001f628
686,u+0001f629
687,u+0001f62a
688,u+0001f62b
689,u+0001f62c
690,u+0001f62d
691,u+0001f62e
692,u+0001f62f
693,u+0001f630
694,u+0001f631
695,u+0001f632
696,u+0001f633
697,u+0001f634
698,u+0001f635
699,u+0001f636
700,u+0001f637
701,u+0001f638
702,u+0001f639
703,u+0001f63a
704,u+0001f63b
705,u+0001f63c
706,u+0001f63d
707,u+0001f63e
708,u+0001f63f
709,u+0001f640
710,u+0001f641
711,u+0001f642
712,u+0001f643
713,u+0001f644
714,u+0001f645
715,u+0001f646
716,u+0001f647
717,u+0001f648
718,u+0001f649
719,u+0001f64a
720,u+0001f64b
721,u+0001f64c
722,u+0001f64d
723,u+0001f64e
724,u+0001f64f
725,u+0001f680
726,u+0001f681
727,u+0001f682
728,u+0001f683
729,u+0001f684
730,u+0001f685
731,u+0001f686
732,u+0001f687
733,u+0001f688
734,u+0001f689
735,u+0001f68a
736,u+0001f68b
737,u+0001f68c
738,u+0001f68d
739,u+0001f68e
740,u+0001f68f
741,u+0001f690
742,u+0001f691
743,u+0001f692
744,u+0001f693
745,u+0001f694
746,u+0001f695
747,u+0001f696
748,u+0001f697
749,u+0001f698
750,u+0001f699
751,u+0001f69a
752,u+0001f69b
753,u+0001f69c
754,u+0001f69d
755,u+0001f69e
756,u+0001f69f
757,u+0001f6a0
758,u+0001f6a1
759,u+0001f6a2
760,u+0001f6a3
761,u+0001f6a4
762,u+0001f6a5
763,u+0001f6a6
764,u+0001f6a7
765,u+0001f6a8
766,u+0001f6a9
767,u+0001f6aa
768,u+0001f6ab
769,u+0001f6ac
770,u+0001f6ad
771,u+0001f6ae
772,u+0001f6af
773,u+0001f6b0
774,u+0001f6b1
775,u+0001f6b2
776,u+0001f6b3
777,u+0001f6b4
778,u+0001f6b5
779,u+0001f6b6
780,u+0001f6b7
781,u+0001f6b8
782,u+0001f6b9
783,u+0001f6ba
784,u+0001f6bb
785,u+0001f6bc
786,u+0001f6bd
787,u+0001f6be
788,u+0001f6bf
789,u+0001f6c0
790,u+0001f6c1
791,u+0001f6c2
792,u+0001f6c3
793,u+0001f6c4
